MonthName,Strategy Avg,Strategy Win%,Outperformance Avg,Outperformance Win%
Jan,2.916475753406944,100.0,8.674800348013045,100.0
Feb,1.7095835522825453,100.0,-0.8776570786500626,0.0
Mar,-6.70335591137211,0.0,3.1957520955425367,100.0
Apr,0.0,0.0,-0.17644485924575015,0.0
May,0.0,0.0,-13.022221030133597,0.0
Jun,9.725775329589892,100.0,0.1705136495766757,100.0
Jul,9.410466284033259,100.0,3.969378485170827,100.0
Aug,7.235838575740217,100.0,4.000489570126242,100.0
Sep,3.3235921724633855,100.0,1.5768627033410754,100.0
Oct,1.9840992369805743,100.0,5.027018622883562,100.0
Nov,5.793637995546375,100.0,0.6229467385170384,100.0
Dec,6.8302042508187055,100.0,1.3146778900251288,100.0
